url,technique,skill_level,source_channel
https://www.youtube.com/watch?v=nV1--ru7ovA,serve,elite,YouTube
https://www.youtube.com/watch?v=XkhjN8Oq2Uo,serve,elite,YouTube
https://www.youtube.com/watch?v=L5E9smgHADI,serve,elite,YouTube
https://www.youtube.com/watch?v=mjaWRVDAlqk,serve,elite,YouTube
https://www.youtube.com/watch?v=ppVowgaVzWI,serve,elite,YouTube
https://www.youtube.com/watch?v=HSAORuY3fiY,serve,elite,YouTube
https://www.youtube.com/watch?v=M96cyQK3_Xw,serve,elite,YouTube
https://youtube.com/shorts/7g9cJBlcMGQ,serve,elite,YouTube
https://www.youtube.com/watch?v=51QSL7t9KR0,serve,advanced,YouTube
https://www.youtube.com/watch?v=VZAMsOlYAo4,serve,advanced,YouTube
https://www.youtube.com/watch?v=aUrSE-mjEto,serve,advanced,YouTube
https://www.youtube.com/watch?v=QOOaUQdd1WM,serve,advanced,YouTube
https://www.youtube.com/watch?v=WLI4UyZOyp4,serve,advanced,YouTube
https://www.youtube.com/watch?v=AemDLrEIpaw,serve,advanced,YouTube
https://www.youtube.com/watch?v=uOX5S-a6h_o,serve,advanced,YouTube
https://www.youtube.com/watch?v=d9RR17CS5I4,serve,advanced,YouTube
https://www.youtube.com/watch?v=S7LwCwKBAso,serve,advanced,YouTube
https://www.youtube.com/watch?v=jny4LHk_6RM,serve,intermediate,YouTube
https://www.youtube.com/watch?v=GhxzQbs69yU,serve,intermediate,YouTube
https://www.youtube.com/watch?v=ZL4OzKZq7jk,serve,intermediate,YouTube
https://www.youtube.com/watch?v=BwGrQ7dmn5E,serve,intermediate,YouTube
https://www.youtube.com/watch?v=-jQJW4yFaiw,serve,intermediate,YouTube
https://www.youtube.com/watch?v=Tg7Rja6aDp8,serve,intermediate,YouTube
https://www.youtube.com/watch?v=9uCmjJEbjEQ,serve,intermediate,YouTube
https://www.youtube.com/watch?v=AvJS2hQpKU0,serve,intermediate,YouTube
https://youtube.com/shorts/t9GidfsyZNk,serve,intermediate,YouTube
https://www.youtube.com/watch?v=Vq0FVZffBcU,serve,intermediate,YouTube
https://www.youtube.com/watch?v=_tx934_xXi0,serve,intermediate,YouTube
https://www.youtube.com/watch?v=mHUnKkgnlaQ,serve,intermediate,YouTube
https://www.youtube.com/shorts/7yseUMmvKPw,serve,intermediate,YouTube
https://youtube.com/shorts/13QFRpbLoxU,serve,intermediate,YouTube
https://www.youtube.com/watch?v=3zbAHwnRyR4,serve,intermediate,YouTube
https://www.youtube.com/watch?v=IiVXT5XTpKY,serve,intermediate,YouTube
https://www.youtube.com/watch?v=o-C6Ss3L6ko,serve,intermediate,YouTube
https://www.youtube.com/watch?v=lmH3paUtPIs,serve,intermediate,YouTube
https://www.youtube.com/watch?v=u-WhjYYocBs,serve,intermediate,YouTube
https://www.youtube.com/shorts/J9U8TT3f4QU,serve,intermediate,YouTube
https://youtu.be/FycuVSo4PRY,serve,intermediate,YouTube
